code,latest_date,price,eps,bvps,roe,net_profit,total_shares,shareholders_equity,pe_ttm,pb,total_mv,dividend_yield
603096,2026-01-08,17.72,0.7824000120162964,6.081399917602539,0.24199999868869781,,148417264.0,163807968.0,22.648261410853497,2.9138027822688772,26.2995391808,0
001872,2026-01-08,19.28,1.809999942779541,8.778499603271484,3.2039999961853027,,16630401024.0,269958016.0,10.651934038402517,2.1962750892891676,3206.3413174272005,0
603367,2026-01-08,18.43,1.1200000047683716,7.384900093078613,1.2610000371932983,,1160978944.0,810432704.0,16.45535707279888,2.495632949357465,213.9684193792,0
600566,2026-01-08,26.12,2.759999990463257,11.048500061035156,2.3610000610351562,,6669362688.0,569091584.0,9.463768148642583,2.3641218134321815,1742.0375341056,0
002155,2026-01-08,22.1,0.699999988079071,3.396699905395508,0.7390000224113464,,1139870080.0,576474432.0,31.571429109086807,6.506315133961386,251.91128768,0
002303,2026-01-08,4.07,0.18389999866485596,0.47450000047683716,0.2840000092983246,,1479072128.0,369419904.0,22.131593417883987,8.577449938693263,60.1982356096,0
002414,2026-01-08,16.15,-0.1046999990940094,0.19259999692440033,0.05400000140070915,,573566784.0,2160784128.0,,83.85254547194631,92.63103561599999,0
600027,2026-01-08,5.02,0.46000000834465027,1.0913000106811523,1.597000002861023,,5851104256.0,5160040960.0,10.913043280292326,4.600018281743337,293.7254336512,0
600598,2026-01-08,15.35,0.6119999885559082,0.6959999799728394,0.8399999737739563,,1586325632.0,159696720.0,25.081699815420382,22.054598335762908,243.500984512,0
601326,2026-01-08,3.5,0.2800000011920929,1.090399980545044,0.4320000112056732,,4280764160.0,140472576.0,12.499999946781568,3.209831311855399,149.8267456,0
001218,2026-01-08,23.18,0.8295999765396118,5.640399932861328,2.003000020980835,,662540480.0,446966144.0,27.941177260741156,4.1096376632713305,153.576883264,0
002206,2026-01-08,6.15,0.3499999940395355,1.3705999851226807,0.5569999814033508,,1189466368.0,1026444288.0,17.57142887066822,4.487085996465644,73.15218163200001,0
002004,2026-01-08,4.87,-0.15139999985694885,0.8070999979972839,0.8209999799728394,,3289723392.0,2253400832.0,,6.033948720213464,160.20952919040002,0
301200,2026-01-08,128.35,0.7200000286102295,0.6503999829292297,0.36899998784065247,,1539464448.0,898184768.0,178.26388180531865,197.3401035804852,1975.9026190079999,0
603236,2026-01-08,99.75,2.2300000190734863,6.358799934387207,2.7660000324249268,,1836721408.0,3259878400.0,44.73094132144619,15.686922222630493,1832.12960448,0
688312,2026-01-08,34.58,0.6600000262260437,2.628200054168701,0.257999986410141,,527789344.0,152121360.0,52.39393731199138,13.157293694272312,182.5095551552,0
002055,2026-01-08,5.78,-2.026099920272827,-3.644700050354004,-0.5479999780654907,,79430296.0,614267520.0,,,4.5910711088,0
603299,2026-01-08,11.06,0.9833999872207642,4.0447001457214355,1.6399999856948853,,2606087680.0,451764416.0,11.246695285462856,2.7344425053855943,288.23329740800006,0
300357,2026-01-08,30.46,0.6069999933242798,2.7334001064300537,0.5009999871253967,,1118840832.0,57733424.0,50.18121966226653,11.14363020925691,340.7989174272,0
600590,2026-01-08,10.39,-1.159999966621399,-0.6366000175476074,0.03700000047683716,,1260535808.0,2463459072.0,,,130.96967045120002,0
002545,2026-01-08,21.12,0.4535999894142151,2.0731000900268555,0.921999990940094,,3344970496.0,633884224.0,46.560847647449556,10.187641253600258,706.4577687552,0
601186,2026-01-08,7.8,1.4600000381469727,14.511199951171875,-2.313999891281128,,185703120896.0,286116347904.0,5.342465613836377,0.5375158516350055,14484.843429888,0
605507,2026-01-08,25.46,1.399999976158142,6.564300060272217,1.2640000581741333,,1909316992.0,1363411328.0,18.18571459541516,3.878555179719221,486.1121061632,0
600661,2026-01-08,10.3,-0.18000000715255737,-1.582900047302246,0.6069999933242798,,605010240.0,11043017.0,,,62.31605472,0
