code,dividend_yield
603982,0.0
002055,0.0
600060,0.070603265217737
601528,0.06896551437659645
605020,0.01479837180313594
601326,0.047999999999999994
600064,0.06636155780193995
688259,0.01379703582788155
603236,0.013433583959899747
600594,0.015827337839920852
601857,0.09387754919329372
688373,0.0
688512,0.0
002443,0.031980319353031104
300628,0.09184525388174375
601686,0.09433962066105372
600096,0.07492795224306943
600008,0.11551155224581254
603816,0.08738170136697328
600231,0.0
688333,0.002321396449674896
000088,0.08968609788761141
600114,0.025982461065681927
605599,0.08217592266054814
000027,0.043674699673373715
600745,0.0032266389928805777
002240,0.006692693695345899
600741,0.07590597425116719
600600,0.06785137150996808
605507,0.035638650142504266
000923,0.04843681392977665
600000,0.06334488755774832
600959,0.012078651879535393
002758,0.060362175586416184
600351,0.09774435950050699
600737,0.07350325656867883
601956,0.04143646539835004
601598,0.09400324032870695
300193,0.08810572761254776
001872,0.06846472785212666
603368,0.07366412152452274
000422,0.034805891205162864
600517,0.03152
603489,0.03717472099789077
601838,0.11015403884316188
688062,0.0
600863,0.08823529118439284
300552,0.0
000408,0.02340909090909091
000951,0.08767857541032407
600590,0.0
300556,0.0017930327448368209
601808,0.03081118840022603
300442,0.017635846443418333
600011,0.06359945987705602
301186,0.02743455497382199
688004,0.0
601107,0.08631922011805526
300308,0.0022671928328563376
002414,0.0008668730854913834
688197,0.0
600511,0.056877579241382904
688443,0.0
600219,0.10250871488891689
603190,0.026755852994523193
603929,0.025210084033613446
601996,0.051724139419378805
000338,0.07792946563967841
600742,0.09969481257437544
300976,0.02078125
600820,0.09677419014595172
002313,0.0
688316,0.0
603801,0.13978494336969224
605266,0.12075949367088609
600941,0.09346683722818283
605088,0.031788079470198675
605099,0.03266888247215203
600916,0.0980392175195585
000651,0.13303660194604278
002061,0.062189055021433355
300158,0.0
002507,0.08595548909843374
688308,0.015470297175778466
300850,0.004339163337286814
603588,0.05506607975784234
601089,0.03633720869789774
600938,0.08975237952731614
603897,0.14953271028037382
300926,0.009202209019676584
600166,0.0
002381,0.06706408307626055
600660,0.06334124945920702
600153,0.14893617625687686
600970,0.08300781435536923
600795,0.07444668322324663
688508,0.008528454306384617
002967,0.03991596766611204
601801,0.09016393391363918
002091,0.09645221239996464
002690,0.06597549695107345
600469,0.049848943459933355
600285,0.07992477496066486
002318,0.05084151391046991
601138,0.030653838967408194
688312,0.026026603595831855
603658,0.0632580040564166
301338,0.003984504771221602
001258,0.013287670885695605
600307,0.0
603186,0.0
002074,0.00491762992388614
601601,0.04472843377795342
601518,0.06263345323270994
300639,0.01148409924952906
000598,0.04986033625811223
000800,0.02936857587084925
300008,0.0
600502,0.11276596202306391
688121,0.0
600683,0.0
688697,0.07384615384615384
600036,0.14425203789963034
301128,0.013571353873839174
000913,0.1079691487592765
300645,0.003157894736842106
600352,0.07985802692492426
002478,0.05827505879324407
600183,0.02029675182597121
601163,0.0843881840693336
000990,0.012269939224614768
002798,0.0
688148,0.0
002033,0.07575757763414864
603299,0.07848100968065622
600180,0.04120879002116096
600927,0.014013950132208164
600519,0.07532960158733752
688257,0.020075283077351343
002563,0.1486988815953092
688288,0.0
300407,0.019156117526795028
000911,0.0
603899,0.06603081382563265
300168,0.0
002975,0.002717493834087677
600968,0.06330749541213641
601186,0.08333333129556775
300458,0.009072351975860036
002030,0.0024115756440464156
300357,0.01657912065589752
001965,0.09693251798402606
300681,0.0022318476236176934
603585,0.0025706939865663826
001218,0.050043139979639585
002386,0.014234875734706805
600710,0.06389396954396497
603126,0.012735166706690625
600545,0.0
600415,0.03273625586886678
600288,0.0007707129245473936
002202,0.008264462549368407
002142,0.06276150560832316
300438,0.0011273956900372897
688236,0.03656
601126,0.04241645129828719
002204,0.010814249180170732
002155,0.01628959247900514
300349,0.06402048702474797
600210,0.07333333333333333
600839,0.010695186729423534
002206,0.05365853575328833
688302,0.0
002246,0.005491762168203005
000423,0.10917351548931443
688183,0.005710132908457167
301283,0.047474747474747475
000726,0.0671328662374421
300533,0.0413564924474359
600273,0.08412197484185152
603111,0.0642857142857143
000690,0.11655011758648814
601872,0.05874999766548483
600999,0.04953325730645863
002054,0.017721518773410664
600704,0.09122807322813581
301289,0.013260415511479048
601717,0.08187134320283984
000498,0.0687085765928848
600019,0.07230559420415812
600177,0.15487316895162284
601020,0.0023720279403896204
000581,0.10893032833257946
300358,0.009372071160727996
688557,0.020966029554184595
600262,0.020417716624181168
002322,0.15163607665532328
601117,0.05665445955716208
301607,0.00040522288928377466
688160,0.004311893829088835
600812,0.007104795592703494
600569,0.0
605377,0.2600472801512983
600598,0.06449511240371773
600581,0.0
000717,0.0
603895,0.0
002027,0.10629921419487921
000921,0.09088330519710762
300394,0.012804097311139564
300453,0.060639472823120016
301039,0.05970149180892392
600018,0.08553113493356156
600739,0.00985221650191643
600989,0.05215415078740799
601139,0.04826545919705227
603739,0.013698629779067634
002006,0.012793176556058886
